Name,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range
mildredsfierce,898.7468402360178,198.15795669519954,230.48910340238416,585.9675821234258,193.94486341289763
gucci,999.9628056653406,760.0505348354058,700.2443521270878,316.368433567837,786.7011163297592
GVKjunior,658.9755492812812,604.2966517648326,633.2594567426571,437.5856138392121,645.6777492578152
iFaridoon,651.1540587797251,312.40866316701863,212.71749781919925,853.835197306016,118.59892602480426
taapsee,478.64023568355765,78.57648325809934,46.521587457433064,209.2784897477083,18.348640814333184
CocoGauff,121.99309549223464,883.6463483206063,474.5209985094615,761.1786557096549,684.5965326582195
itsSSR,789.1241552228581,627.9270707275165,233.37079323552712,650.9889295565682,428.54415729710337
NehaLTOI,623.2466187820061,522.4398376477113,84.69330564829264,299.15274992333184,251.2656469635699
mecamitmishra,70.20661465309924,675.2383523694178,1.4924719070121273,607.6121867983667,138.7975920369185
ScottEyewear,989.2580837284418,749.648179551612,987.3558128983883,558.7461371072733,732.6954934554001
rosariodawson,836.2946619594513,902.8672198595125,396.93967361914906,734.130089521248,751.50995779064
amalaakkineni1,714.535317179764,886.3838726051013,768.4305416618971,952.2279146564927,580.3550919054848
ndtv,708.101205411434,809.1803787569087,310.45578745333347,614.1916367486583,574.9116458222534
FCBarcelona,180.60005234611492,676.2601007157712,20.504579303253834,149.49816949558053,442.3891498828788
BBCWorld,795.5937101539317,855.3628356673032,674.8193778652155,472.72096712436706,754.5226889862109
ElizabethKateri,957.4331663042583,628.4640710892518,612.7765679132589,610.206356763767,615.5163510189101
renukaVyavahare,874.4765779055939,91.20374161790001,211.1471145897883,422.04725081883237,214.31410646729591
ManUtd,227.96176402858802,709.5766518247545,52.30616091174589,117.02101004504706,588.6707095202062
boxervijender,237.55970236845985,942.3463007064754,143.13555655476262,926.1376841310547,585.7112955145332
aaronecarroll,691.5337219771162,253.81997246548755,231.55939370262985,457.57906977543684,173.38911758578308
Wit_of_Wilde,999.6420124400511,318.75926324988313,44.3154420317467,259.32435489086055,350.02352289121285
irrfank,751.9930546571245,599.5322340854115,278.54441713519407,906.0185581285194,212.1442298001951
KaemaSutra,967.7188064481229,960.7134534112387,714.900966014806,94.16252516917496,870.6859985369005
priyankachopra,763.2589119760858,745.0966565244162,830.8160042311796,930.1686588791288,393.08800326755835
BreakingNews,974.6794567915889,960.7119797554193,942.9449502191261,690.952031248716,928.1245564522346
devinschiff,918.1404971995078,797.48677324106,466.7665350699194,484.5820833412124,674.7410913321689
realshooterdadi,206.77956633686802,148.822957008929,21.27243708975285,271.8772140832221,8.865068309605428
SumZero,891.229833352134,675.3672529547854,668.0974898884488,200.28734730871932,754.5935033027955
NetflixFilm,992.0298426755331,283.87455328863336,451.78875577167565,407.7287210788461,361.4131606990643
dop007,373.77473344705135,551.2036776684196,105.55814736138608,508.4951891130376,412.6631231635235
akshaykumar,689.2896315782025,621.3843919981268,223.2014517390522,668.6168900892349,286.5974824132027
vab267,106.22363992690043,661.4277870849013,1.5994539121138573,464.9590768726347,133.01384481257315
michaelaWat,932.3977287150873,698.0496130088844,730.1216397615796,718.5205101595251,719.6976639925426
ScottMendelson,974.6435555885504,350.20265838897524,238.0919734589245,166.79155433599058,643.6119424422847
BBCSport,142.82060903390493,240.7195487897012,13.273877130999646,21.188080272146912,229.68378990738185
BenChildGeek,954.9005994491391,58.35330903432756,172.07642162917747,92.53309666843495,285.4444929972453
khimanisagar,656.6959039279565,870.5801261827148,29.573815104466938,539.0227788295953,420.17267991444265
SECDiversity,365.7509036912621,803.5615298341781,430.58011160168235,572.9209263827354,851.6304130773287
actorbrahmaji,40.36442815043212,348.4095488940981,108.40630118885957,705.7396695671092,116.20412646987799
NeerajaKona,330.99774175740384,486.57184255415586,201.52600966882073,736.6671937178412,110.761715905133
BukayoSaka87,11.783525456235067,760.8562207488492,22.937659429946578,214.32280659451314,686.1921148998559
Daniel_James_97,141.65133506558686,710.6766546579,310.2918374131805,858.7382502836251,394.40425889875974
AnushkaSharma,684.3637690463529,803.2952315650417,592.586358496528,924.3826059845384,354.10361732063
fattysanashaikh,458.88973848685964,470.20506949680043,474.9548139031273,924.1843183124814,164.5532265686569
RNTata2000,807.9895118896226,823.7463168349874,377.08131603651816,686.9462432706684,574.0354749023105
Calum5SOS,330.52349219830563,425.8051617857631,549.7690085280458,762.7640593485206,139.35143185259673
ClaireWaldron1,274.36184175660674,625.2558872093365,411.82120622924555,683.3761259261664,419.01164164568627
Ileana_Official,446.0722376434207,476.6022498866026,351.4979290291856,890.1632807355033,135.5260035611403
crhemanth,828.2905068829104,521.185747464511,66.84870143990418,226.18203877391096,397.1695774863814
KapilSharmaK9,41.41241703142118,604.3394279164619,169.91956912190764,865.9353435117931,253.8138411540063
manyu8888,567.2842682575546,685.1079165044144,68.59056018624166,149.53551754285326,433.4017784548282
MlilyOfficial,314.6145628989838,919.890187721962,477.9131468407268,150.6436315862858,613.0926564882246
AdamParkhomenko,945.7868742036759,785.8432623160236,754.3884406637966,496.77902979922686,873.8525932499464
KateChesterton,837.2362670807474,894.4190471835672,415.9977820497962,883.6341686577705,469.31550640817136
cheteshwar1,298.87383963221293,907.1822873020299,908.482817438256,996.2265868448197,694.9250487679233
colstonJulian1,898.874956738673,928.1910753201823,205.5433471009901,261.6380091593598,856.5352238871719
nandakumar_27,820.1437526008003,32.49727171946637,284.1464458720966,235.40640933928137,79.70745622906999
dreamboatme,552.3167302706707,9.685216192122203,30.660212687277312,126.59793719502943,54.12866042878039
rajyasabhatv,286.78459346943896,699.5966501746185,509.77054114592966,670.6366514607254,573.7898960528297
BBCIndia,820.3324975580002,713.6676237862202,163.0728350907233,122.8792168229143,643.1306738450999
McQueen,999.9652993575587,459.10285980077066,968.6397546542464,703.053325626256,701.6174088184665
itisthatis,168.63214362270838,96.35028909823396,7.907692437425062,142.45325823850607,14.977137213513847
chriswoakes,218.72386192166644,710.9978501868178,158.65314144977367,662.0176462481433,412.35982246924885
AtishiAAP,596.7980381658995,841.8318853088448,111.79170011605926,615.4102333403358,419.3727807316492
coenesqued,895.1376049630479,71.19581993019081,180.45863092723835,332.2216965435261,149.64348111746207
StefTsitsipas,642.3152620050882,255.46367666599744,181.90626156320616,221.3044090769417,301.8881217182828
iamsrk,311.23487701319283,694.3116045933648,281.31526413735077,924.4417810584797,441.9639569179708
FortWorth_SEC,804.1929111071689,805.1514200548534,948.7077257720517,484.5120116297401,959.5474131337239
jake_p_cole,960.641114117884,85.45469757440472,154.88921001799844,50.394716961742304,371.7462939761143
Neelavanam,932.3086244937895,390.73419261249484,228.2253754241164,437.40610037489444,320.5713269729919
karanjohar,645.5661952412349,238.91284037497533,115.16962166977984,107.04070154985857,58.560170708958026
